time,phase,left_hip_yaw,left_hip_roll,left_hip_pitch,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_yaw,right_hip_roll,right_hip_pitch,right_knee,right_ankle_pitch,right_ankle_roll
0.0,0.034,0.007008,0.139139,-0.560295,0.853534,-0.343727,-0.139314,-0.007008,-0.139139,-0.449318,0.853534,-0.454704,0.139314
0.02,0.068,0.006246,0.124166,-0.558344,0.863947,-0.355991,-0.124322,-0.00801,-0.158709,-0.525681,0.968507,-0.493463,0.158909
0.04,0.102,0.005483,0.109136,-0.55565,0.873033,-0.367682,-0.109273,-0.009116,-0.180192,-0.604491,1.084882,-0.531215,0.18042
0.06,0.136,0.004721,0.094057,-0.552234,0.880823,-0.378811,-0.094175,-0.010322,-0.203407,-0.680393,1.192868,-0.563528,0.203665
0.08,0.17,0.003958,0.078934,-0.548115,0.887342,-0.389383,-0.079033,-0.011604,-0.227863,-0.749315,1.285655,-0.587667,0.228153
0.1,0.204,0.003196,0.063775,-0.54331,0.892612,-0.399404,-0.063855,-0.01292,-0.252662,-0.807549,1.357826,-0.601917,0.252985
0.12,0.238,0.002433,0.048586,-0.537833,0.896647,-0.408873,-0.048647,-0.014198,-0.276455,-0.851245,1.404433,-0.605164,0.27681
0.14,0.272,0.001671,0.033375,-0.531697,0.899461,-0.417792,-0.033417,-0.015343,-0.297497,-0.876138,1.420319,-0.59648,0.297881
0.16,0.306,0.001895,0.037851,-0.523705,0.898759,-0.425091,-0.037898,-0.015027,-0.291707,-0.887004,1.416462,-0.581666,0.292083
0.18,0.34,0.002658,0.053056,-0.514422,0.895588,-0.431236,-0.053122,-0.013832,-0.269659,-0.879863,1.387139,-0.559152,0.270005
0.2,0.374,0.00342,0.068237,-0.504509,0.891191,-0.436798,-0.068322,-0.012533,-0.245404,-0.852817,1.329558,-0.528287,0.245717
0.22,0.408,0.004182,0.083386,-0.493966,0.885555,-0.441764,-0.08349,-0.011221,-0.220586,-0.808993,1.24918,-0.49143,0.220866
0.24,0.442,0.004945,0.098497,-0.48279,0.878665,-0.446119,-0.09862,-0.009958,-0.196422,-0.751663,1.151377,-0.450695,0.196671
0.26,0.476,0.005707,0.113562,-0.470974,0.870496,-0.449847,-0.113705,-0.00878,-0.173681,-0.684443,1.042182,-0.408502,0.1739
0.28,0.51,0.00647,0.128576,-0.458511,0.861024,-0.452929,-0.128738,-0.007704,-0.152753,-0.611742,0.92939,-0.368238,0.152945
0.3,0.544,0.007292,0.144695,-0.471117,0.886437,-0.465848,-0.144877,-0.006784,-0.134741,-0.5598,0.856736,-0.347394,0.134911
0.32,0.578,0.008324,0.164832,-0.548884,1.003108,-0.504912,-0.16504,-0.006021,-0.119751,-0.557628,0.866756,-0.359488,0.119901
0.34,0.612,0.009461,0.186856,-0.627314,1.117858,-0.541431,-0.187092,-0.005259,-0.104706,-0.554719,0.875457,-0.371014,0.104837
0.36,0.646,0.010693,0.210503,-0.701556,1.221995,-0.571569,-0.21077,-0.004496,-0.089613,-0.551095,0.882871,-0.381978,0.089725
0.38,0.68,0.011991,0.235173,-0.767719,1.309246,-0.592943,-0.235473,-0.003734,-0.074479,-0.546772,0.889021,-0.392388,0.074572
0.4,0.714,0.013304,0.259837,-0.822091,1.374408,-0.604055,-0.260169,-0.002971,-0.05931,-0.541768,0.893926,-0.402246,0.059385
0.42,0.748,0.014554,0.283015,-0.860722,1.412543,-0.603894,-0.283379,-0.002209,-0.044114,-0.536096,0.897601,-0.411554,0.044169
0.44,0.782,0.015639,0.302883,-0.879192,1.418291,-0.591485,-0.303274,-0.001446,-0.028898,-0.529768,0.900057,-0.42031,0.028934
0.46,0.816,0.014692,0.285562,-0.887153,1.411117,-0.576076,-0.285929,-0.002119,-0.042325,-0.52104,0.897953,-0.426958,0.042378
0.48,0.85,0.013456,0.262673,-0.873836,1.372884,-0.550825,-0.26301,-0.002882,-0.057524,-0.511572,0.894422,-0.432933,0.057596
0.5,0.884,0.012146,0.238099,-0.841527,1.308048,-0.517974,-0.238403,-0.003644,-0.072696,-0.501474,0.889662,-0.438321,0.072787
0.52,0.918,0.010843,0.213368,-0.79338,1.221974,-0.479754,-0.213639,-0.004407,-0.087834,-0.490745,0.88366,-0.443109,0.087945
0.54,0.952,0.009601,0.189561,-0.732742,1.12014,-0.438311,-0.189802,-0.005169,-0.102933,-0.479381,0.876396,-0.447281,0.103062
0.56,0.986,0.008452,0.167328,-0.6634,1.008961,-0.396269,-0.167539,-0.005932,-0.117984,-0.467376,0.867847,-0.450821,0.118132
0.58,0.02,0.007408,0.146964,-0.590132,0.897048,-0.357461,-0.147149,-0.006694,-0.132981,-0.454721,0.857985,-0.453709,0.133148
0.6,0.054,0.00656,0.130338,-0.559239,0.859822,-0.351011,-0.130503,-0.007584,-0.150417,-0.493561,0.920281,-0.477291,0.150607
0.62,0.088,0.005797,0.115331,-0.556848,0.86945,-0.362937,-0.115476,-0.008648,-0.17112,-0.572129,1.037512,-0.516125,0.171336
0.64,0.122,0.005035,0.100271,-0.553727,0.87777,-0.374296,-0.100397,-0.009814,-0.193662,-0.649768,1.149901,-0.551086,0.193907
0.66,0.156,0.004272,0.085166,-0.549895,0.88481,-0.385097,-0.085272,-0.011069,-0.21769,-0.722019,1.249655,-0.578845,0.217967
0.68,0.19,0.00351,0.070021,-0.545371,0.890592,-0.395344,-0.070108,-0.012378,-0.242485,-0.785105,1.330924,-0.597328,0.242795
0.7,0.224,0.002747,0.054843,-0.540169,0.895134,-0.405041,-0.054912,-0.013682,-0.266885,-0.835275,1.388656,-0.605218,0.267227
0.72,0.258,0.001985,0.039641,-0.534303,0.89845,-0.414186,-0.03969,-0.014895,-0.289289,-0.86846,1.417859,-0.601568,0.289661
0.74,0.292,0.001581,0.031584,-0.527344,0.899712,-0.422393,-0.031624,-0.015464,-0.299703,-0.88343,1.418906,-0.58781,0.30009
0.76,0.326,0.002344,0.046798,-0.51832,0.897041,-0.428776,-0.046856,-0.014342,-0.27911,-0.885391,1.402966,-0.56959,0.279469
0.78,0.36,0.003106,0.061989,-0.508667,0.89315,-0.434579,-0.062067,-0.013074,-0.255544,-0.866166,1.356331,-0.541845,0.255871
0.8,0.394,0.003869,0.077152,-0.498384,0.888027,-0.439792,-0.077249,-0.011759,-0.230785,-0.828865,1.2847,-0.507197,0.231079
0.82,0.428,0.004631,0.09228,-0.487469,0.881655,-0.4444,-0.092395,-0.010469,-0.206233,-0.776684,1.193398,-0.467797,0.206495
0.84,0.462,0.005393,0.107365,-0.475917,0.874016,-0.448389,-0.107499,-0.009253,-0.18284,-0.713062,1.088081,-0.425867,0.183071
0.86,0.496,0.006156,0.1224,-0.463722,0.865084,-0.451739,-0.122554,-0.008134,-0.161138,-0.642005,0.97565,-0.384302,0.161342
0.88,0.53,0.006918,0.137381,-0.450873,0.854829,-0.454432,-0.137554,-0.007121,-0.141342,-0.568742,0.865702,-0.347463,0.14152
0.9,0.564,0.007886,0.156306,-0.516446,0.954674,-0.488846,-0.156503,-0.006335,-0.12593,-0.558613,0.862791,-0.354578,0.126089
0.92,0.598,0.008981,0.177569,-0.595283,1.071472,-0.526989,-0.177793,-0.005573,-0.110907,-0.556005,0.872032,-0.366336,0.111046
0.94,0.632,0.010175,0.200599,-0.671753,1.180838,-0.560109,-0.200853,-0.00481,-0.095833,-0.552673,0.879973,-0.377531,0.095953
0.96,0.666,0.011451,0.224946,-0.74169,1.275711,-0.585314,-0.225233,-0.004048,-0.080715,-0.548636,0.886641,-0.388168,0.080816
0.98,0.7,0.012766,0.249767,-0.801375,1.350567,-0.600794,-0.250086,-0.003285,-0.06556,-0.543911,0.892056,-0.398253,0.065642
1.0,0.734,0.014053,0.273762,-0.846993,1.400439,-0.605382,-0.274114,-0.002523,-0.050374,-0.538512,0.896236,-0.407788,0.050437
1.02,0.768,0.015219,0.295227,-0.874337,1.42023,-0.598157,-0.295608,-0.00176,-0.035165,-0.532452,0.899193,-0.416771,0.035209
1.04,0.802,0.015156,0.294069,-0.886391,1.417777,-0.58363,-0.294448,-0.001805,-0.036061,-0.524755,0.899053,-0.42433,0.036106
1.06,0.836,0.013979,0.272403,-0.881796,1.392166,-0.562286,-0.272752,-0.002568,-0.051268,-0.515547,0.896024,-0.430543,0.051332
1.08,0.87,0.012688,0.248315,-0.856931,1.337618,-0.53227,-0.248632,-0.00333,-0.066452,-0.505708,0.891772,-0.436174,0.066535
1.1,0.904,0.011374,0.223491,-0.814915,1.259648,-0.496009,-0.223775,-0.004093,-0.081605,-0.495239,0.886283,-0.441211,0.081708
1.12,0.938,0.010103,0.199202,-0.758995,1.163602,-0.455616,-0.199454,-0.004855,-0.096721,-0.484138,0.879541,-0.445639,0.096842
1.14,0.972,0.008913,0.176267,-0.692732,1.055389,-0.413445,-0.176489,-0.005618,-0.111792,-0.472398,0.871524,-0.449441,0.111933
1.16,0.006,0.007825,0.155115,-0.620404,0.942522,-0.372726,-0.155311,-0.00638,-0.126812,-0.460011,0.862207,-0.4526,0.126972
1.18,0.04,0.006874,0.136501,-0.560006,0.855469,-0.345933,-0.136673,-0.007177,-0.142453,-0.462307,0.873139,-0.461344,0.142632
1.2,0.074,0.006111,0.121517,-0.557922,0.865646,-0.358095,-0.12167,-0.008197,-0.162363,-0.53959,0.989276,-0.500354,0.162568
1.22,0.108,0.005349,0.106478,-0.555099,0.874501,-0.369687,-0.106612,-0.009322,-0.184172,-0.618223,1.10477,-0.537408,0.184406
1.24,0.142,0.004586,0.091391,-0.551558,0.882065,-0.380717,-0.091505,-0.010543,-0.207653,-0.69317,1.210513,-0.568442,0.207916
1.26,0.176,0.003824,0.076261,-0.547317,0.888362,-0.391192,-0.076357,-0.011836,-0.232247,-0.760474,1.300032,-0.590938,0.232543
1.28,0.21,0.003061,0.061096,-0.542392,0.893413,-0.401115,-0.061173,-0.013151,-0.25698,-0.816432,1.368049,-0.603316,0.257308
1.3,0.244,0.002299,0.045903,-0.536798,0.897232,-0.410487,-0.045961,-0.014413,-0.280423,-0.857133,1.409626,-0.604527,0.280783
1.32,0.278,0.001536,0.030689,-0.530546,0.899831,-0.419309,-0.030727,-0.015523,-0.30078,-0.878224,1.419495,-0.593623,0.301168
